nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,titleCount
nm0000084,Gong Li,1965,\N,actress,"tt0101640,tt0430357,tt0397535,tt0473444",4
nm0000093,Brad Pitt,1963,\N,"actor,producer,soundtrack","tt0114746,tt1210166,tt0356910,tt2935510",4
nm0000096,Gillian Anderson,1968,\N,"actress,producer,soundtrack","tt0106179,tt2294189,tt0455590,tt0442632",4
nm0000097,Pamela Anderson,1967,\N,"actress,producer,director","tt0115624,tt0267913,tt0306047,tt0426592",4
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt1723121,tt0279113,tt0108778,tt3442006",4
nm0000099,Patricia Arquette,1968,\N,"actress,soundtrack,director","tt0108399,tt0412175,tt0145531,tt1065073",4
nm0000103,Fairuza Balk,1974,\N,"actress,soundtrack","tt0181875,tt0120586,tt0115963,tt0089908",4
nm0000106,Drew Barrymore,1975,\N,"producer,actress,soundtrack","tt0151738,tt0343660,tt0120631,tt0160127",4
nm0000109,Yasmine Bleeth,1968,\N,actress,"tt0131857,tt0115285,tt0119271,tt0337851",4
nm0000111,Matthew Broderick,1962,\N,"actor,soundtrack,director","tt0395251,tt0126886,tt0091042,tt0086567",4
nm0000113,Sandra Bullock,1964,\N,"producer,actress,soundtrack","tt0212346,tt0111257,tt1454468,tt1041829",4
nm0000115,Nicolas Cage,1964,\N,"actor,producer,soundtrack","tt0119094,tt0117500,tt0435705,tt0113627",4
nm0000117,Neve Campbell,1973,\N,"actress,producer,soundtrack","tt0117571,tt0120890,tt0134084,tt0120082",4
nm0000119,Tia Carrere,1967,\N,"actress,soundtrack,producer","tt0105793,tt0275847,tt0207919,tt0111503",4
nm0000120,Jim Carrey,1962,\N,"actor,writer,producer","tt0338013,tt0109040,tt0110475,tt0315327",4
nm0000121,Phoebe Cates,1963,\N,"actress,soundtrack","tt0086143,tt0101775,tt0083929,tt0087363",4
nm0000123,George Clooney,1961,\N,"actor,producer,director","tt0433383,tt1193138,tt1124035,tt0465538",4
nm0000124,Jennifer Connelly,1970,\N,actress,"tt0102803,tt0180093,tt0315983,tt0268978",4
