nconst,primaryName,tconst
nm0000004,John Belushi,tt0077975
nm0000261,Karen Allen,tt0077975
nm0001371,Tom Hulce,tt0077975
nm0299122,Stephen Furst,tt0077975
nm0000004,John Belushi,tt0078723
nm0000101,Dan Aykroyd,tt0078723
nm0000262,Nancy Allen,tt0078723
nm0001852,Treat Williams,tt0078723
nm0000004,John Belushi,tt0080455
nm0000101,Dan Aykroyd,tt0080455
nm0001006,John Candy,tt0080455
nm0000004,John Belushi,tt0082200
nm0001974,Blair Brown,tt0082200
nm0000004,John Belushi,tt0082801
nm0000101,Dan Aykroyd,tt0082801
nm0001550,Cathy Moriarty,tt0082801
nm0907923,Kathryn Walker,tt0082801
nm0000029,Margaux Hemingway,tt0074802
nm0455133,Perry King,tt0074802
nm0000084,Gong Li,tt0101640
nm0134862,Cuifen Cao,tt0101640
nm0372078,Saifei He,tt0101640
nm0000084,Gong Li,tt0106332
nm0002000,Leslie Cheung,tt0106332
nm0311212,You Ge,tt0106332
nm0955342,Fengyi Zhang,tt0106332
nm0000084,Gong Li,tt0110081
nm0311212,You Ge,tt0110081
nm0422640,Wu Jiang,tt0110081
nm0000084,Gong Li,tt0343663
nm0000375,Robert Downey Jr.,tt0343663
nm0151654,Chang Chen,tt0343663
nm0000084,Gong Li,tt0367959
nm0406975,Rhys Ifans,tt0367959
nm0880484,Gaspard Ulliel,tt0367959
nm0000084,Gong Li,tt0430357
nm0004937,Jamie Foxx,tt0430357
nm0268199,Colin Farrell,tt0430357
nm0365140,Naomie Harris,tt0430357
nm0000084,Gong Li,tt0473444
nm0000334,Chow Yun-Fat,tt0473444
nm1091782,Ye Liu,tt0473444
nm1727100,Jay Chou,tt0473444
nm0000084,Gong Li,tt1092634
nm0000131,John Cusack,tt1092634
nm0000334,Chow Yun-Fat,tt1092634
nm0001556,David Morse,tt1092634
nm0000084,Gong Li,tt4566758
nm0001472,Jet Li,tt4566758
nm0947447,Donnie Yen,tt4566758
nm1703577,Liu Yifei,tt4566758
nm0000084,Gong Li,tt4591310
nm0477209,Aaron Kwok,tt4591310
nm2682046,Shaofeng Feng,tt4591310
nm3370295,Shenyang Xiao,tt4591310
nm0000093,Brad Pitt,tt0104009
nm0000107,Kim Basinger,tt0104009
nm0000321,Gabriel Byrne,tt0104009
nm0000093,Brad Pitt,tt0105265
nm0000950,Brenda Blethyn,tt0105265
nm0001729,Craig Sheffer,tt0105265
nm0000093,Brad Pitt,tt0107302
nm0000496,Juliette Lewis,tt0107302
nm0000093,Brad Pitt,tt0110148
nm0000104,Antonio Banderas,tt0110148
nm0000129,Tom Cruise,tt0110148
nm0000379,Kirsten Dunst,tt0110148
nm0000093,Brad Pitt,tt0110322
nm0000566,Julia Ormond,tt0110322
nm0001644,Aidan Quinn,tt0110322
nm0000093,Brad Pitt,tt0114369
nm0000228,Kevin Spacey,tt0114369
nm0001825,Andrew Kevin Walker,tt0114369
nm0000093,Brad Pitt,tt0114746
nm0000246,Bruce Willis,tt0114746
nm0000656,Madeleine Stowe,tt0114746
nm0000093,Brad Pitt,tt0117665
nm0000102,Kevin Bacon,tt0117665
nm0000134,Robert De Niro,tt0117665
nm0000574,Jason Patric,tt0117665
nm0000093,Brad Pitt,tt0119643
nm0001231,Claire Forlani,tt0119643
nm0916617,Jake Weber,tt0119643
nm0000093,Brad Pitt,tt0120102
nm0000667,David Thewlis,tt0120102
nm0000703,BD Wong,tt0120102
nm0000093,Brad Pitt,tt0137523
nm0001533,Meat Loaf,tt0137523
nm0001570,Edward Norton,tt0137523
nm0340260,Zach Grenier,tt0137523
nm0000093,Brad Pitt,tt0165982
nm0000201,Michelle Pfeiffer,tt0165982
nm0001212,Joseph Fiennes,tt0165982
nm0001876,Catherine Zeta-Jones,tt0165982
nm0000093,Brad Pitt,tt0208092
nm0005068,Vinnie Jones,tt0208092
nm0005458,Jason Statham,tt0208092
nm0334318,Stephen Graham,tt0208092
nm0000093,Brad Pitt,tt0236493
nm0000210,Julia Roberts,tt0236493
nm0001254,James Gandolfini,tt0236493
nm0799777,J.K. Simmons,tt0236493
nm0000093,Brad Pitt,tt0240772
nm0000123,George Clooney,tt0240772
nm0000210,Julia Roberts,tt0240772
nm0000354,Matt Damon,tt0240772
nm0000093,Brad Pitt,tt0266987
nm0001517,Catherine McCormack,tt0266987
nm0226820,Stephen Dillane,tt0266987
nm0000093,Brad Pitt,tt0332452
nm0051509,Eric Bana,tt0332452
nm0089217,Orlando Bloom,tt0332452
nm0000093,Brad Pitt,tt0349903
nm0000123,George Clooney,tt0349903
nm0000210,Julia Roberts,tt0349903
nm0001876,Catherine Zeta-Jones,tt0349903
nm0000093,Brad Pitt,tt0356910
nm0000681,Vince Vaughn,tt0356910
nm0001401,Angelina Jolie,tt0356910
nm0111013,Adam Brody,tt0356910
nm0000093,Brad Pitt,tt0361748
nm0491259,Mélanie Laurent,tt0361748
nm0744834,Eli Roth,tt0361748
nm1208167,Diane Kruger,tt0361748
nm0000093,Brad Pitt,tt0421715
nm0000566,Julia Ormond,tt0421715
nm0000949,Cate Blanchett,tt0421715
nm0842770,Tilda Swinton,tt0421715
nm0000093,Brad Pitt,tt0443680
nm0000571,Mary-Louise Parker,tt0443680
nm0000729,Casey Affleck,tt0443680
nm0001731,Sam Shepard,tt0443680
nm0000093,Brad Pitt,tt0449467
nm0000949,Cate Blanchett,tt0449467
nm0305558,Gael García Bernal,tt0449467
nm0000093,Brad Pitt,tt0478304
nm0000576,Sean Penn,tt0478304
nm1567113,Jessica Chastain,tt0478304
nm0000093,Brad Pitt,tt0496806
nm0000123,George Clooney,tt0496806
nm0000354,Matt Damon,tt0496806
nm0000093,Brad Pitt,tt0816711
nm0197647,James Badge Dale,tt0816711
nm0257969,Mireille Enos,tt0816711
nm2020146,Daniella Kertesz,tt0816711
nm0000093,Brad Pitt,tt0887883
nm0000123,George Clooney,tt0887883
nm0000518,John Malkovich,tt0887883
nm0000531,Frances McDormand,tt0887883
nm0000093,Brad Pitt,tt1001526
nm0002071,Will Ferrell,tt1001526
nm0275486,Tina Fey,tt1001526
nm1706767,Jonah Hill,tt1001526
nm0000093,Brad Pitt,tt1210166
nm0000450,Philip Seymour Hoffman,tt1210166
nm0000705,Robin Wright,tt1210166
nm1706767,Jonah Hill,tt1210166
nm0000093,Brad Pitt,tt1596363
nm0000288,Christian Bale,tt1596363
nm0136797,Steve Carell,tt1596363
nm0331516,Ryan Gosling,tt1596363
