nconst,primaryName,tconst
nm0000004,John Belushi,tt0077621
nm0005460,Mary Steenburgen,tt0077621
nm0000004,John Belushi,tt0077975
nm0000261,Karen Allen,tt0077975
nm0001371,Tom Hulce,tt0077975
nm0299122,Stephen Furst,tt0077975
nm0000004,John Belushi,tt0078723
nm0000101,Dan Aykroyd,tt0078723
nm0000262,Nancy Allen,tt0078723
nm0001852,Treat Williams,tt0078723
nm0000004,John Belushi,tt0080455
nm0000101,Dan Aykroyd,tt0080455
nm0001006,John Candy,tt0080455
nm0000004,John Belushi,tt0082200
nm0001974,Blair Brown,tt0082200
nm0000004,John Belushi,tt0082801
nm0000101,Dan Aykroyd,tt0082801
nm0001550,Cathy Moriarty,tt0082801
nm0907923,Kathryn Walker,tt0082801
nm0000029,Margaux Hemingway,tt0074802
nm0455133,Perry King,tt0074802
nm0000084,Gong Li,tt0093206
nm0422638,Wen Jiang,tt0093206
nm0000084,Gong Li,tt0099902
nm0508349,Baotian Li,tt0099902
nm0000084,Gong Li,tt0101640
nm0134862,Cuifen Cao,tt0101640
nm0372078,Saifei He,tt0101640
nm0000084,Gong Li,tt0101783
nm0159507,Stephen Chow,tt0101783
nm0514998,Ray Lui,tt0101783
nm0628806,Man-Tat Ng,tt0101783
nm0000084,Gong Li,tt0105197
nm0000084,Gong Li,tt0106332
nm0002000,Leslie Cheung,tt0106332
nm0311212,You Ge,tt0106332
nm0955342,Fengyi Zhang,tt0106332
nm0000084,Gong Li,tt0108289
nm0150850,Pak-Cheung Chan,tt0108289
nm0159507,Stephen Chow,tt0108289
nm0000084,Gong Li,tt0110081
nm0311212,You Ge,tt0110081
nm0422640,Wu Jiang,tt0110081
nm0000084,Gong Li,tt0115012
nm0508349,Baotian Li,tt0115012
nm0508554,Xuejian Li,tt0115012
nm0000084,Gong Li,tt0118851
nm0000460,Jeremy Irons,tt0118851
nm0000084,Gong Li,tt0162866
nm0839008,Zhou Sun,tt0162866
nm0955342,Fengyi Zhang,tt0162866
nm0000084,Gong Li,tt0212712
nm0504897,Tony Chiu-Wai Leung,tt0212712
nm0910947,Faye Wong,tt0212712
nm0955471,Ziyi Zhang,tt0212712
nm0000084,Gong Li,tt0343663
nm0000375,Robert Downey Jr.,tt0343663
nm0151654,Chang Chen,tt0343663
nm0000084,Gong Li,tt0367959
nm0406975,Rhys Ifans,tt0367959
nm0880484,Gaspard Ulliel,tt0367959
nm0000084,Gong Li,tt0430357
nm0004937,Jamie Foxx,tt0430357
nm0268199,Colin Farrell,tt0430357
nm0365140,Naomie Harris,tt0430357
nm0000084,Gong Li,tt0473444
nm0000334,Chow Yun-Fat,tt0473444
nm1091782,Ye Liu,tt0473444
nm1727100,Jay Chou,tt0473444
nm0000084,Gong Li,tt1092634
nm0000131,John Cusack,tt1092634
nm0000334,Chow Yun-Fat,tt1092634
nm0001556,David Morse,tt1092634
nm0000084,Gong Li,tt3125472
nm0155203,Daoming Chen,tt3125472
nm0849919,Tao Guo,tt3125472
nm6517324,Huiwen Zhang,tt3125472
nm0000084,Gong Li,tt4566758
nm0001472,Jet Li,tt4566758
nm0947447,Donnie Yen,tt4566758
nm1703577,Liu Yifei,tt4566758
nm0000084,Gong Li,tt4591310
nm0477209,Aaron Kwok,tt4591310
nm2682046,Shaofeng Feng,tt4591310
nm3370295,Shenyang Xiao,tt4591310
nm0000093,Brad Pitt,tt0097136
nm0774337,Jill Schoelen,tt0097136
nm6230258,Donovan Leitch Jr.,tt0097136
nm0000093,Brad Pitt,tt0101268
nm0005401,Ricky Schroder,tt0101268
nm0811202,Carrie Snodgress,tt0101268
nm0000093,Brad Pitt,tt0104009
nm0000107,Kim Basinger,tt0104009
nm0000321,Gabriel Byrne,tt0104009
nm0000093,Brad Pitt,tt0104567
nm0091369,Richard Boes,tt0104567
nm0000093,Brad Pitt,tt0105265
nm0000950,Brenda Blethyn,tt0105265
nm0001729,Craig Sheffer,tt0105265
nm0000093,Brad Pitt,tt0107302
nm0000496,Juliette Lewis,tt0107302
nm0000093,Brad Pitt,tt0109783
nm0000597,Bill Pullman,tt0109783
nm0001527,Elizabeth McGovern,tt0109783
nm0468772,Harley Jane Kozak,tt0109783
nm0000093,Brad Pitt,tt0110148
nm0000104,Antonio Banderas,tt0110148
nm0000129,Tom Cruise,tt0110148
nm0000379,Kirsten Dunst,tt0110148
nm0000093,Brad Pitt,tt0110322
nm0000566,Julia Ormond,tt0110322
nm0001644,Aidan Quinn,tt0110322
nm0000093,Brad Pitt,tt0114369
nm0000228,Kevin Spacey,tt0114369
nm0001825,Andrew Kevin Walker,tt0114369
nm0000093,Brad Pitt,tt0114746
nm0000246,Bruce Willis,tt0114746
nm0000656,Madeleine Stowe,tt0114746
nm0000093,Brad Pitt,tt0117665
nm0000102,Kevin Bacon,tt0117665
nm0000134,Robert De Niro,tt0117665
nm0000574,Jason Patric,tt0117665
nm0000093,Brad Pitt,tt0118930
nm0101777,Guy Boyd,tt0118930
nm0689424,Cheryl Pollak,tt0118930
nm0000093,Brad Pitt,tt0118972
nm0000148,Harrison Ford,tt0118972
nm0001952,Rubén Blades,tt0118972
nm0171513,Margaret Colin,tt0118972
nm0000093,Brad Pitt,tt0119643
nm0001231,Claire Forlani,tt0119643
nm0916617,Jake Weber,tt0119643
nm0000093,Brad Pitt,tt0120102
nm0000667,David Thewlis,tt0120102
nm0000703,BD Wong,tt0120102
nm0000093,Brad Pitt,tt0137523
nm0001533,Meat Loaf,tt0137523
nm0001570,Edward Norton,tt0137523
nm0340260,Zach Grenier,tt0137523
nm0000093,Brad Pitt,tt0165982
nm0000201,Michelle Pfeiffer,tt0165982
nm0001212,Joseph Fiennes,tt0165982
nm0001876,Catherine Zeta-Jones,tt0165982
nm0000093,Brad Pitt,tt0208092
nm0005068,Vinnie Jones,tt0208092
nm0005458,Jason Statham,tt0208092
nm0334318,Stephen Graham,tt0208092
nm0000093,Brad Pitt,tt0236493
nm0000210,Julia Roberts,tt0236493
nm0001254,James Gandolfini,tt0236493
nm0799777,J.K. Simmons,tt0236493
nm0000093,Brad Pitt,tt0240772
nm0000123,George Clooney,tt0240772
nm0000210,Julia Roberts,tt0240772
nm0000354,Matt Damon,tt0240772
nm0000093,Brad Pitt,tt0266987
nm0001517,Catherine McCormack,tt0266987
nm0226820,Stephen Dillane,tt0266987
nm0000093,Brad Pitt,tt0332452
nm0051509,Eric Bana,tt0332452
nm0089217,Orlando Bloom,tt0332452
nm0000093,Brad Pitt,tt0349903
nm0000123,George Clooney,tt0349903
nm0000210,Julia Roberts,tt0349903
nm0001876,Catherine Zeta-Jones,tt0349903
nm0000093,Brad Pitt,tt0356910
nm0000681,Vince Vaughn,tt0356910
nm0001401,Angelina Jolie,tt0356910
nm0111013,Adam Brody,tt0356910
nm0000093,Brad Pitt,tt0361748
nm0491259,Mélanie Laurent,tt0361748
nm0744834,Eli Roth,tt0361748
nm1208167,Diane Kruger,tt0361748
nm0000093,Brad Pitt,tt0421715
nm0000566,Julia Ormond,tt0421715
nm0000949,Cate Blanchett,tt0421715
nm0842770,Tilda Swinton,tt0421715
nm0000093,Brad Pitt,tt0443680
nm0000571,Mary-Louise Parker,tt0443680
nm0000729,Casey Affleck,tt0443680
nm0001731,Sam Shepard,tt0443680
nm0000093,Brad Pitt,tt0449467
nm0000949,Cate Blanchett,tt0449467
nm0305558,Gael García Bernal,tt0449467
nm0000093,Brad Pitt,tt0478304
nm0000576,Sean Penn,tt0478304
nm1567113,Jessica Chastain,tt0478304
nm0000093,Brad Pitt,tt0496806
nm0000123,George Clooney,tt0496806
nm0000354,Matt Damon,tt0496806
nm0000093,Brad Pitt,tt0816711
nm0197647,James Badge Dale,tt0816711
nm0257969,Mireille Enos,tt0816711
nm2020146,Daniella Kertesz,tt0816711
nm0000093,Brad Pitt,tt0887883
nm0000123,George Clooney,tt0887883
nm0000518,John Malkovich,tt0887883
nm0000531,Frances McDormand,tt0887883
nm0000093,Brad Pitt,tt1001526
nm0002071,Will Ferrell,tt1001526
nm0275486,Tina Fey,tt1001526
nm1706767,Jonah Hill,tt1001526
nm0000093,Brad Pitt,tt1210166
nm0000450,Philip Seymour Hoffman,tt1210166
nm0000705,Robin Wright,tt1210166
nm1706767,Jonah Hill,tt1210166
nm0000093,Brad Pitt,tt1596363
nm0000288,Christian Bale,tt1596363
nm0136797,Steve Carell,tt1596363
nm0331516,Ryan Gosling,tt1596363
nm0000093,Brad Pitt,tt1764234
nm0000501,Ray Liotta,tt1764234
nm0420955,Richard Jenkins,tt1764234
nm1058940,Scoot McNairy,tt1764234
nm0000093,Brad Pitt,tt2024544
nm0252230,Chiwetel Ejiofor,tt2024544
nm0931324,Michael Kenneth Williams,tt2024544
nm1055413,Michael Fassbender,tt2024544
nm0000093,Brad Pitt,tt2713180
nm0479471,Shia LaBeouf,tt2713180
nm0503567,Logan Lerman,tt2713180
nm0671567,Michael Peña,tt2713180
nm0000093,Brad Pitt,tt2935510
nm0000169,Tommy Lee Jones,tt2935510
nm1550948,Ruth Negga,tt2935510
nm0000093,Brad Pitt,tt3640424
nm0182839,Marion Cotillard,tt3640424
nm0364813,Jared Harris,tt3640424
nm1081121,Vincent Ebrahim,tt3640424
nm0000093,Brad Pitt,tt3707106
nm0001401,Angelina Jolie,tt3707106
nm0491259,Mélanie Laurent,tt3707106
nm0693799,Melvil Poupaud,tt3707106
nm0000093,Brad Pitt,tt4758646
nm0079418,Daniel Betts,tt4758646
nm1710309,Emory Cohen,tt4758646
nm1910274,John Magaro,tt4758646
nm0000093,Brad Pitt,tt4973112
nm0000093,Brad Pitt,tt7131622
nm0000138,Leonardo DiCaprio,tt7131622
nm0386472,Emile Hirsch,tt7131622
